name,hex
зеленый,#4fcc57
синий,#1c5de8
фиолетовый,#9638cb
коричневый,#885632
розовый,#f456b3
голубой,#2cbdf4
красный,#eb2435
желтый,#f1e932
оранжевый,#f9861b
салатовый,#8af24a
пурпурный,#c03bba
бирюзовый,#2de4c2
сиреневый,#bf62e3
темно зеленый,#255a2a
темно синий,#232ca9
светло зеленый,#8bef78
серый,#909a9e
фуксия,#e528b8
черный,#141b1f
бежевый,#debb9e
мятный,#6bedae
оливковый,#8da458
лиловый,#c76ed9
темно фиолетовый,#592b80
малиновый,#e32073
бордовый,#91233d
серо зелёный,#708e6d
