name,hex
periwinkle blue,#699ae8
purple red,#9c3068
navy green,#5e7843
tree green,#499247
cool grey,#81909e
dark beige,#b79b6d
caramel,#c18f3d
blood orange,#f25120
pale orange,#eda85e
amethyst,#994fc4
warm grey,#928b85
marine blue,#1b5dc3
dark lilac,#9b71bf
dark olive green,#566930
sepia,#a56c34
cerise,#e33884
bright teal,#39ecc8
blueish purple,#6c58d8
puke,#a7a842
dark mauve,#934f74
vomit,#a4b546
bubblegum,#ea6eac
dark forest green,#1e4523
dark navy blue,#1f2f4e
muted purple,#886497
dark peach,#dd9478
orange yellow,#f8b81d
true blue,#1a57e8
royal,#453ed6
blueish green,#42be8a
muted blue,#487cba
ice blue,#9ce2ef
bluish purple,#6a5eda
auburn,#ab5334
dark fuschia,#ad267b
fern,#6cb165
dark olive,#505b26
dusty green,#78a571
chestnut,#8d4d2d
purplish blue,#5549ca
bottle green,#346337
lilac purple,#a682d2
highlighter green,#6cf753
ruby,#ce1b49
medium purple,#9951c9
rouge,#c43e63
camel,#c79455
steel,#788e9b
grey pink,#b88e9a
light olive,#9fb966
brown yellow,#aa9333
muted pink,#d68ba8
blueish grey,#738d9f
reddish orange,#f25426
vomit green,#889c3c
very dark green,#1d3a26
avocado green,#93bb56
light tan,#e4d29d
golden,#e3b933
cherry,#dd1f4a
barbie pink,#f24aaa
tiffany blue,#54dad5
bluish green,#35ca8f
burnt red,#ab382e
khaki green,#859653
seaweed,#517f4a
pumpkin orange,#f38121
mid blue,#2675e2
fire engine red,#f32829
rose red,#da2c4a
purplish pink,#d642cc
light aqua,#72ebd6
hot purple,#c332d9
dark salmon,#d46662
cadet blue,#427baa
bright magenta,#ea31d1
dark rose,#c34d74
soft pink,#e38dc5
dark yellow green,#799226
faded purple,#9476a3
bluish grey,#849aa7
mustard green,#abb433
light olive green,#a6b964
mud brown,#816331
ocean,#277cc2
light blue green,#64e8c0
ultramarine blue,#2c32d1
turquoise green,#32d99d
light cyan,#79e6e7
crimson red,#cb2037
violet blue,#5537cf
pale red,#d95b5e
dull yellow,#dfd856
scarlet red,#ce242c
dark indigo,#383067
coral pink,#f16066
carnation pink,#f296b9
jungle green,#48893f
oxblood,#802624
