name,hex
grön,#54ed5d
lila,#b636e0
blå,#027ef7
rosa,#f739a8
brun,#9a5e38
turkos,#26eede
ljusgrön,#82eb76
mörkblå,#203bd2
gul,#f6e91f
röd,#fa1d36
limegrön,#96f635
ljusblå,#37c4fb
orange,#fc8613
mörklila,#6b328a
mörkgrön,#2b7137
svart,#21191f
mintgrön,#62ebac
