name,hex
groen,#5bcf5f
blauw,#1d7fe8
paars,#a541cc
bruin,#895d3b
roze,#f153b1
oranje,#f68d27
rood,#e72b38
donkerblauw,#2239c0
lichtblauw,#54cff4
lichtgroen,#80eb74
donkergroen,#2e6740
geel,#f3e726
donkerpaars,#643884
lila,#c583dd
zwart,#251e27
grijs,#87999e
beige,#cec396
turquoise,#34dcd4
magenta,#de29bc
